strain	date	country	state	division	location	host	host_categories	clade_membership	strains	lineages	accessions	organization	DataSource	authors	journal	title	url	latitude	longitude	parent_id	parsimony	usher_annotation	autolin_proposal	lineage_name	Level_1	Level_2	Level_3	Level_4	Level_5	Level_6	Level_7	Level_8
OQ721682	2013-07-16	USA	CA	CA/CA	USA	Aphelocoma californica	Birds-Perching Birds	?	?	I.a.4-NY99	OQ721682.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721682	36.778259	-119.417931	node_4106	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.2.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.2	I.a.4-NY99.WN02.2.2.1	I.a.4-NY99.WN02.2.2.1	I.a.4-NY99.WN02.2.2.1	I.a.4-NY99.WN02.2.2.1
LR743458	2019-09-03	DEU	Unknown	DEU	Global	Bubo scandiacus	Birds-Owls	?	?	II	LR743458.1	Friedrich-Loeffler-Institute Federal Research Institute for Animal Health Institute of Diagnostic Virology Suedufer 10 Greifswald - Insel Riems Mecklenburg - Western Pomerania 17493	NCBI_Global	et al	"Submitted (13-DEC-2019) Friedrich-Loeffler-Institute, Federal Research Institute for Animal Health, Institute of Diagnostic Virology, Suedufer 10, Greifswald - Insel Riems, Mecklenburg - Western Pomerania, 17493, Germany"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/LR743458	51.165691	10.451526	node_263	0	II	New	II.1.1.1	I.a	I.a.4-NY99	II	II.1	II.1.1	II.1.1.1	II.1.1.1	II.1.1.1
W1630	2018-08-09	USA	IL	IL/Cook	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W1630_2018-08-09_USA_IL_Cook_41.825_-87.723	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	41.7376587	-87.697554	node_2306	14	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3.1.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1.3	I.a.4-NY99.WN02.3.1.3	I.a.4-NY99.WN02.3.1.3	I.a.4-NY99.WN02.3.1.3
OQ721528	2004-07-09	USA	CA	CA/CA	USA	Corvus brachyrhynchos	Birds-Perching Birds	?	?	I.a.4-NY99	OQ721528.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721528	36.778259	-119.417931	node_3603	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2
KJ501528	2002-XX-XX	USA	USA	USA/USA	Unknown	Cyanocitta cristata	Birds-Perching Birds	?	?	I.a.4-NY99	KJ501528.1	Broad Institute of MIT & Harvard	NCBI_Global	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501528	37.0902	-95.7129	node_1008	8	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
MW862100	2018-XX-XX	ITA	Unknown	ITA	Global	Corvus cornix	Birds-Perching Birds	?	?	II	MW862100.1	Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise 'G. Caporale' Animals Foreign Diseases	NCBI_Global	Zaccaria et al	"Vet Microbiol 263, 109262 (2021)"	The envelope protein of Usutu virus attenuates West Nile virus virulence in immunocompetent mice	https://www.ncbi.nlm.nih.gov/pubmed/34715462	41.87194	12.56738	node_311	6	II	New	II.1.1.5	I.a	I.a.4-NY99	II	II.1	II.1.1	II.1.1.5	II.1.1.5	II.1.1.5
MN481589	2018-07-17	GRC	Unknown	GRC	Global	Gallus gallus	Birds-Landfowls	?	?	II	MN481589.1	Aristotle University of Thessaloniki Diagnostic Laboratory School of Veterinary Medicine Faculty of Health Sciences	NCBI_Global	Chaintoutis et al	"Mol. Phylogenet. Evol., 106617 (2019) In press"	"Evolutionary dynamics of lineage 2 West Nile virus in Europe, 2004-2018: Phylogeny, selection pressure and phylogeography"	https://www.ncbi.nlm.nih.gov/pubmed/31521822	39.074208	21.824312	node_439	0	II	New	II.1.2.2	I.a	I.a.4-NY99	II	II.1	II.1.2	II.1.2.2	II.1.2.2	II.1.2.2
W511	2008-08-06	USA	CA	CA/CA	USA	Unknown	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	W511	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_3505	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.3.2	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.3	I.a.4-NY99.WN02.2.3.2	I.a.4-NY99.WN02.2.3.2	I.a.4-NY99.WN02.2.3.2	I.a.4-NY99.WN02.2.3.2
W1754	2013-07-22	USA	CO	CO/Larimer	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W1754_2013-07-22_USA_CO_Larimer_40.481_-105.039	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	40.6955572	-105.5943388	node_2114	6	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4
OQ721120	2017-06-07	USA	CA	CA/CA	USA	Aphelocoma californica	Birds-Perching Birds	?	?	I.a.4-NY99	OQ721120.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721120	36.778259	-119.417931	node_3758	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.1.1.1.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.1	I.a.4-NY99.WN02.2.1.1	I.a.4-NY99.WN02.2.1.1.1	I.a.4-NY99.WN02.2.1.1.1.1	I.a.4-NY99.WN02.2.1.1.1.1.1
KX547511	2006-08-21	USA	NY	NY/Erie	USA	Accipiter gentilis	Birds-Hawks and Eagles	Ia	WN02	I.a.4-NY99.WN02	KX547511	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547511	42.7582309	-78.77963378	node_2197	8	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.21	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.21	I.a.4-NY99.WN02.21	I.a.4-NY99.WN02.21	I.a.4-NY99.WN02.21	I.a.4-NY99.WN02.21	I.a.4-NY99.WN02.21
OL840879	2019-08-XX	GRC	Unknown	GRC	Global	Homo sapiens	Mammals-Human	?	?	II	OL840879.1	Aristotle University of Thessaloniki A' Dept. of Microbiology	NCBI_Global	Papa et al	"Submitted (11-DEC-2021) A' Dept. of Microbiology, Aristotle University of Thessaloniki, Medical School, Thessaloniki 54124, Greece"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/OL840879	39.074208	21.824312	node_459	3	II	New	II.1.2	I.a	I.a.4-NY99	II	II.1	II.1.2	II.1.2	II.1.2	II.1.2
KX547466	2003-08-19	USA	NY	NY/Suffolk	USA	Culex	Mosquitoes-Culex	Ia	NY99	I.a.4-NY99	KX547466	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547466	40.9849	-72.6151	node_4549	1	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
KJ501449	2002-XX-XX	USA	PA	PA/PA	USA	Cyanocitta cristata	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KJ501449|2002|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501449	40.9699889	-77.727883	node_4362	3	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
WNV0000121	2013-08-06	USA	NYC	NYC/Laurelton	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	WNV0000121-NYC-VH00422-231206	NYC_PHL	NYC_PHL	NYC-PHL	Unpublished	NYC PHL West Nile Virus Sequencing Project	https://www.nyc.gov/site/doh/index.page	40.66974219	-73.75083751	node_2116	10	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4
W0845	2018-07-17	USA	OH	OH/Franklin	USA	Unknown	Mosquitoes-Unknown	Ia	WN02	I.a.4-NY99.WN02	W0845_2018-07-17_USA_OH_Franklin_40.092_-83.031	NS_WN4K	WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	39.5589474	-84.3041074	node_1665	8	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.1.1.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.1	I.a.4-NY99.WN02.1.1.1	I.a.4-NY99.WN02.1.1.1.1	I.a.4-NY99.WN02.1.1.1.1	I.a.4-NY99.WN02.1.1.1.1
WNV0000117	2013-08-01	USA	NYC	NYC/Westerleigh	USA	Culex pipiens	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	WNV0000117-NYC-VH00422-231206	NYC_PHL	NYC_PHL	NYC-PHL	Unpublished	NYC PHL West Nile Virus Sequencing Project	https://www.nyc.gov/site/doh/index.page	40.59932901	-74.16646536	node_2043	14	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.4.2.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.4	I.a.4-NY99.WN02.1.4.2	I.a.4-NY99.WN02.1.4.2.1	I.a.4-NY99.WN02.1.4.2.1	I.a.4-NY99.WN02.1.4.2.1
KC736497	2012-XX-XX	USA	TX	TX/Montogmery	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KC736497	Centers for Disease Control and Prevention Division of Vector-Borne Diseases	NS_NA_NCBI	Duggal et al	"Am. J. Trop. Med. Hyg. 89 (2), 205-210 (2013)"	Sequence Analyses of 2012 West Nile Virus Isolates from Texas Fail to Associate Viral Genetic Factors with Outbreak Magnitude	https://www.ncbi.nlm.nih.gov/pubmed/23817333	31.8160381	-99.5120985	node_1924	6	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.1.2.3	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.1	I.a.4-NY99.WN02.1.2	I.a.4-NY99.WN02.1.2.3	I.a.4-NY99.WN02.1.2.3	I.a.4-NY99.WN02.1.2.3	I.a.4-NY99.WN02.1.2.3
KM083619	1999-XX-XX	USA	USA	USA/USA	Unknown	Phoenicopterus roseus	Birds-Wading Birds	?	?	I.a.4-NY99	KM083619.1	CBER/FDA	NCBI_Global	Grinev et al	Genome Announc 2 (5) (2014)	Complete Genome Sequence of West Nile Virus Strains Used for the Formulation of CBER/FDA RNA Reference Reagents and Lot Release Panels for Nucleic Acid Testing	https://www.ncbi.nlm.nih.gov/pubmed/25359905	37.0902	-95.7129	node_919	0	I.a.4-NY99.b		I.a.4-NY99.b	I.a.4-NY99	I.a.4-NY99.b	I.a.4-NY99.b	I.a.4-NY99.b	I.a.4-NY99.b	I.a.4-NY99.b	I.a.4-NY99.b	I.a.4-NY99.b
KJ501500	2009-XX-XX	USA	MD	MD/Talbot	USA	Larus smithsonianus	Birds-Seabirds	Ia	WN02	I.a.4-NY99.WN02	KJ501500	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501500	38.7803973	-76.1319953	node_3107	11	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.4.5	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.4	I.a.4-NY99.WN02.4.5	I.a.4-NY99.WN02.4.5	I.a.4-NY99.WN02.4.5	I.a.4-NY99.WN02.4.5	I.a.4-NY99.WN02.4.5
W244	2017-07-04	USA	CA	CA/CA	USA	Unknown	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	W244	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_4103	3	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.2.1.2	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.2	I.a.4-NY99.WN02.2.2.1	I.a.4-NY99.WN02.2.2.1.2	I.a.4-NY99.WN02.2.2.1.2	I.a.4-NY99.WN02.2.2.1.2
KX547271	2006-08-12	USA	NY	NY/Seneca	USA	Cyanocitta cristata	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KX547271	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547271	42.7652	-76.8721	node_4278	0	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
JF415927	2009-XX-XX	USA	TX	TX/Harris	USA	Aedes albopictus	Mosquitoes-Aedes	Ia	WN02	I.a.4-NY99.WN02	JF415927	University of Texas Medical Branch	NS_NA_NCBI	McMullen et al	"Emerging Infect. Dis. 17 (5), 785-793 (2011)"	Evolution of new genotype of West Nile virus in North America	https://www.ncbi.nlm.nih.gov/pubmed/21529385	31.8160381	-99.5120985	node_1451	1	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.20.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.20	I.a.4-NY99.WN02.20.1	I.a.4-NY99.WN02.20.1	I.a.4-NY99.WN02.20.1	I.a.4-NY99.WN02.20.1	I.a.4-NY99.WN02.20.1
EF571854	?	USA	USA	USA/USA	Unknown	Unknown	Unknown	Ia	?	I.a.4-NY99	EF571854.1	Midwest Research Institute Biotechnology	NCBI_Global	Rayner et al	Unpublished	Consensus genomic sequence of West Nile Virus 385-99 after one passage in Vero cells	https://www.ncbi.nlm.nih.gov/nuccore/EF571854	37.0902	-95.7129	node_4	0	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
HM538578	2001-XX-XX	USA	CT	CT/CT	USA	Ochlerotatus triseriatus	Mosquitoes-Ochlerotatus	?	?	I.a.4-NY99	HM538578.1	Broad Institute of MIT and Harvard	NCBI_Global	Henn et al	"Submitted (08-JUN-2010) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/HM538578	41.599998	-72.699997	node_906	0	I.a.4-NY99		I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
KC333385	2012-07-11	USA	TX	TX/TX	USA	Cyanocitta cristata	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KC333385	University of Texas Medical Branch Pathology	NS_NA_NCBI	Mann et al	"Emerging Infect. Dis. 19 (9), 1418-1427 (2013)"	"Continued evolution of West Nile virus, Houston, Texas, USA, 2002-2012"	https://www.ncbi.nlm.nih.gov/pubmed/23965756	31.8160381	-99.5120985	node_1544	10	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.6.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.6	I.a.4-NY99.WN02.6.1	I.a.4-NY99.WN02.6.1	I.a.4-NY99.WN02.6.1	I.a.4-NY99.WN02.6.1	I.a.4-NY99.WN02.6.1
KY782105	2012-07-18	USA	IL	IL/Illinois	USA	Turdus migratorius	Birds-Perching Birds	?	?	I.a.4-NY99	KY782105.1	University of Wisconsin-Madison Pathobiological Sciences	NCBI_Global	Goldberg et al	Unpublished	Evolution of West Nile virus within and between hosts and vectors demonstrates selective constraint but adaptive capacity in the Flaviviridae	https://www.ncbi.nlm.nih.gov/nuccore/KY782105	40.0796319	-89.4339808	node_2261	6	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.3.1.4	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.3	I.a.4-NY99.WN02.3.1	I.a.4-NY99.WN02.3.1.4	I.a.4-NY99.WN02.3.1.4	I.a.4-NY99.WN02.3.1.4	I.a.4-NY99.WN02.3.1.4
KJ501274	2001-XX-XX	USA	OH	OH/Cuyahoga	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KJ501274	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501274	41.7048247	-81.7787021	node_4409	5	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.22	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.22	I.a.4-NY99.WN02.22	I.a.4-NY99.WN02.22	I.a.4-NY99.WN02.22	I.a.4-NY99.WN02.22	I.a.4-NY99.WN02.22
KR348984	2011-01-09	USA	CA	CA/Kern	USA	Culex quinquefasciatus	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KR348984	Centers for Disease Control and Prevention Division of Vector-Borne Infectious Diseases	NS_NA_NCBI	Duggal et al	"Virology 485, 79-85 (2015)"	Genotype-specific variation in West Nile virus dispersal in California	https://www.ncbi.nlm.nih.gov/pubmed/26210076	35.7546732	-118.4253627	node_3909	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2.1.2.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2.1	I.a.4-NY99.WN02.2.1.2	I.a.4-NY99.WN02.2.1.2.1	I.a.4-NY99.WN02.2.1.2.1	I.a.4-NY99.WN02.2.1.2.1
AF317203	?	RUS	Volgograd	Volgograd/Volgograd	Global	Homo sapiens	Mammals-Human	Ia	Rus99	I.a.2.Rus99a	AF317203.1	Central Research Institute of Epidemiology	NCBI_Global	Platonov et al	Unpublished	Genetic similarity of West Nile viruses caused epidemics in Volgograd 1999 and Romania 1996	https://www.ncbi.nlm.nih.gov/nuccore/AF317203	61.52401	105.318756	node_649	0	I.a.2.Rus99b		I.a.4-NY99	I.a	I.a.2	I.a.2.Rus99b	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
W080	2015-07-10	USA	CA	CA/CA	USA	Unknown	Mosquitoes-Culex	Ia	SW03	I.a.4-NY99.WN02.SW03	W080	NS_WN4K	NS_NA_WN4K	WestNile4K	Unpublished	WestNile 4K Project	https://westnile4k.org/	36.778259	-119.417931	node_2496	1	I.a.4-NY99.SW03		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.SW03	I.a.4-NY99.SW03.1	I.a.4-NY99.SW03.1.1	I.a.4-NY99.SW03.1.1.1	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
KX547244	2003-10-02	USA	NY	NY/Clinton	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KX547244	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547244	44.699764	-73.471428	node_2186	6	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
WNV0000093	2010-07-15	USA	NYC	NYC/Claremont Village	USA	Culex pipiens-restuans	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	WNV0000093-NYC-VH00422-231206	NYC_PHL	NYC_PHL	NYC-PHL	Unpublished	NYC PHL West Nile Virus Sequencing Project	https://www.nyc.gov/site/doh/index.page	40.82988498	-73.90812184	node_2163	3	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.11	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.11	I.a.4-NY99.WN02.11	I.a.4-NY99.WN02.11	I.a.4-NY99.WN02.11	I.a.4-NY99.WN02.11	I.a.4-NY99.WN02.11
KJ501459	2003-XX-XX	USA	OK	OK/Payne	USA	Corvus brachyrhynchos	Birds-Perching Birds	Ia	WN02	I.a.4-NY99.WN02	KJ501459	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501459	34.9061837	-97.5300307	node_4389	8	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.10.1	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.10	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1	I.a.4-NY99.WN02.10.1
OQ721654	2007-07-24	USA	CA	CA/CA	USA	Aphelocoma californica	Birds-Perching Birds	?	?	I.a.4-NY99	OQ721654.1	The Scripps Research Institute Department of Immunology and Microbiology	NCBI_Global	Grubaugh et al	Unpublished	West Nile virus genomic data from North America	https://www.ncbi.nlm.nih.gov/nuccore/OQ721654	36.778259	-119.417931	node_3692	0	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.2	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2	I.a.4-NY99.WN02.2
MW835363	2011-XX-XX	ITA	Unknown	ITA	Global	Gallus gallus	Birds-Landfowls	?	?	I.a	MW835363.1	Istituto Zooprofilattico Sperimentale Dell'abruzzo E del Molise 'G. Caporale' Animals Foreign Diseases	NCBI_Global	Monaco et al	"Submitted (30-MAR-2021) Animals Foreign Diseases, Istituto Zooprofilattico Sperimentale Dell'abruzzo E del Molise 'G. Caporale', Via Campo Boario, Teramo, Abruzzo 64100, Italy"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/MW835363	41.87194	12.56738	node_693	0	I.a.2		I.a.4-NY99	I.a	I.a.2	I.a.2.1	I.a.2.1.4	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99	I.a.4-NY99
KX547164	2006-09-08	USA	NY	NY/Nassau	USA	Culex	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KX547164	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547164	40.6546	-73.5594	node_3070	20	I.a.4-NY99.WN02	New	I.a.4-NY99.WN02.4.6	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02.4	I.a.4-NY99.WN02.4.6	I.a.4-NY99.WN02.4.6	I.a.4-NY99.WN02.4.6	I.a.4-NY99.WN02.4.6	I.a.4-NY99.WN02.4.6
KJ501425	2007-XX-XX	USA	SD	SD/SD	USA	Pelecanus erythrorhynchos	Birds-Seabirds	Ia	WN02	I.a.4-NY99.WN02	KJ501425|2007|USA|	Broad Institute of MIT & Harvard	NS_NA_NCBI	Newman et al	"Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501425	44.6471761	-100.3487609	node_1436	12	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
KX547586	2002-09-19	USA	NY	NY/Dutchess	USA	Culex	Mosquitoes-Culex	Ia	WN02	I.a.4-NY99.WN02	KX547586	J. Craig Venter Institute	NS_NA_NCBI	Shabman et al	"Submitted (12-JUL-2016) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA"	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KX547586	41.76515	-73.74286	node_4286	3	I.a.4-NY99.WN02		I.a.4-NY99.WN02	I.a.4-NY99	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02	I.a.4-NY99.WN02
