MK352483,2018,USA,DC,Washington DC,USA,Psorophora,Mosquitoes-Psorophora,1a,WN02,MK352483.1,Centers for Disease Control and Prevention Division of Vector-borne Diseases,NCBI_Global,Hughes et al,38.9071923,-77.0368707
MN849176,2019-09,USA,DC,Washington DC,USA,Aedes albopictus,Mosquitoes-Aedes,?,?,MN849176.1,Centers for Disease Control and Prevention Division of Vector-borne Diseases,NCBI_Global,Hughes et al,38.9071923,-77.0368707
KY782106,2012-07-25,USA,IL,Illinois,USA,Spinus tristis,Birds-Perching Birds,?,?,KY782106.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782105,2012-07-18,USA,IL,Illinois,USA,Turdus migratorius,Birds-Perching Birds,?,?,KY782105.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782112,2005-09-15,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782112.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782111,2005-09-14,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782111.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782110,2005-08-03,USA,IL,Illinois,USA,Passer domesticus,Birds-Perching Birds,?,?,KY782110.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782109,2005-08-03,USA,IL,Illinois,USA,Turdus migratorius,Birds-Perching Birds,?,?,KY782109.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782108,2010-08-24,USA,IL,Illinois,USA,Turdus migratorius,Birds-Perching Birds,?,?,KY782108.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782107,2012-08-01,USA,IL,Illinois,USA,Poecile atricapillus,Birds-Perching Birds,?,?,KY782107.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782118,2010-08-20,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782118.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782117,2010-08-18,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782117.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782116,2010-08-12,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782116.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782115,2010-08-04,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782115.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782114,2009-08-12,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782114.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782113,2007-07-07,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782113.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782124,2012-08-31,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782124.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782123,2010-09-24,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782123.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782122,2010-09-03,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782122.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782121,2010-09-01,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782121.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782120,2010-09-01,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782120.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
KY782119,2010-08-25,USA,IL,Illinois,USA,Culex,Mosquitoes-Culex,?,?,KY782119.1,University of Wisconsin-Madison Pathobiological Sciences,NCBI_Global,Goldberg et al,40.0796319,-89.4339808
OM202928,2018,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202928.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202922,2018,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202922.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202915,2018,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202915.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202929,2018,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202929.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202908,2018,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202908.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202932,2018,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202932.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202923,2018,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202923.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202906,2018,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202906.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202918,2014,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202918.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202927,2014,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202927.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202931,2018,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202931.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202914,2014,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202914.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202930,2017,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202930.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202912,2014,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202912.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202907,2014,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202907.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202910,2017,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202910.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202913,2014,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202913.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202926,2015,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202926.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202905,2016,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202905.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202909,2017,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202909.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202904,2015,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202904.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202916,2018,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202916.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202933,2014,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202933.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202936,2014,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202936.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202920,2018,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202920.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202917,2016,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202917.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202921,2014,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202921.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202919,2016,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202919.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
OM202911,2015,USA,USA,USA,Unknown,Homo sapiens,Mammals-Human,?,?,OM202911.1,US Food and Drug Administration Center for Devices and Radiological Health,NCBI_Global,Rios et al,37.0902,-95.7129
DQ211652,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,DQ211652.1,University of Kansas Molecular Biosciences,NCBI_Global,Borisevich et al,37.0902,-95.7129
EF530047,2000,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,EF530047.1,Wadsworth Center New York State Department of Health Arbovirus Laboratories,NCBI_Global,Jia et al,37.0902,-95.7129
EF571854,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,EF571854.1,Midwest Research Institute Biotechnology,NCBI_Global,Rayner et al,37.0902,-95.7129
EF657887,2000,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,EF657887.1,Wadsworth Center New York State Department of Health Arbovirus Laboratories,NCBI_Global,Jia et al,37.0902,-95.7129
EU155484,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,EU155484.1,The University of North Carolina at Chapel Hill Microbiology and Immunology,NCBI_Global,Papin et al,37.0902,-95.7129
GQ379156,2001-07,USA,USA,USA,Unknown,Corvus,Birds-Perching Birds,?,?,GQ379156.1,CDC DRS ADB,NCBI_Global,Fabbri et al,37.0902,-95.7129
HQ596519,1999,USA,USA,USA,Unknown,Corvus,Birds-Perching Birds,?,?,HQ596519.1,University of Queensland School of Chemistry and Molecular Biosciences,NCBI_Global,Audsley et al,37.0902,-95.7129
JX503085,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503085.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503084,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503084.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503091,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503091.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503090,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503090.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503089,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503089.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503088,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503088.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503087,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503087.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503086,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503086.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503097,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503097.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503096,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503096.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503095,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503095.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503094,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503094.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503093,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503093.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503092,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503092.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503099,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503099.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
JX503098,?,USA,USA,USA,Unknown,Unknown,Unknown,?,?,JX503098.1,Broad Institute of MIT and Harvard,NCBI_Global,Malboeuf et al,37.0902,-95.7129
KJ145803,2003,USA,USA,USA,Unknown,Culex restuans,Mosquitoes-Culex,?,?,KJ145803.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145802,2005,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ145802.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145800,1999,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,KJ145800.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145809,2003,USA,USA,USA,Unknown,Culiseta melanura,Mosquitoes-Culiseta,?,?,KJ145809.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145807,2003,USA,USA,USA,Unknown,Aedes vexans,Mosquitoes-Aedes,?,?,KJ145807.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145805,2003,USA,USA,USA,Unknown,Culiseta melanura,Mosquitoes-Culiseta,?,?,KJ145805.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145804,2003,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ145804.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145814,2001,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,KJ145814.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145813,2001,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,KJ145813.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145812,2008,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,KJ145812.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145810,2006,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ145810.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145821,2006,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,KJ145821.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145818,2003,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,KJ145818.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145817,2002,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,KJ145817.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145825,2009,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,KJ145825.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145824,2009,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,KJ145824.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ145823,2006,USA,USA,USA,Unknown,Corvus brachyrhynchos,Birds-Perching Birds,?,?,KJ145823.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501097,2008,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501097.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501145,2011,USA,USA,USA,Unknown,Culex quinquefasciatus,Mosquitoes-Culex,?,?,KJ501145.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501153,2011,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501153.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501152,2004,USA,USA,USA,Unknown,Culex quinquefasciatus,Mosquitoes-Culex,?,?,KJ501152.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501151,2004,USA,USA,USA,Unknown,Culex stigmatosoma,Mosquitoes-Culex,?,?,KJ501151.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501159,2011,USA,USA,USA,Unknown,Culex quinquefasciatus,Mosquitoes-Culex,?,?,KJ501159.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501158,2011,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501158.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501157,2011,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501157.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501156,2004,USA,USA,USA,Unknown,Culex quinquefasciatus,Mosquitoes-Culex,?,?,KJ501156.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501155,2008,USA,USA,USA,Unknown,Culex quinquefasciatus,Mosquitoes-Culex,?,?,KJ501155.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501154,2011,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501154.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501165,2008,USA,USA,USA,Unknown,Culex quinquefasciatus,Mosquitoes-Culex,?,?,KJ501165.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501164,2008,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501164.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501163,2007,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501163.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501162,2007,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501162.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501161,2011,USA,USA,USA,Unknown,Culex quinquefasciatus,Mosquitoes-Culex,?,?,KJ501161.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501160,2011,USA,USA,USA,Unknown,Culex quinquefasciatus,Mosquitoes-Culex,?,?,KJ501160.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501171,2005,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501171.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501169,2006,USA,USA,USA,Unknown,Culex quinquefasciatus,Mosquitoes-Culex,?,?,KJ501169.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501167,2007,USA,USA,USA,Unknown,Culex quinquefasciatus,Mosquitoes-Culex,?,?,KJ501167.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501166,2007,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501166.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501177,2011,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501177.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501176,2008,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501176.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501175,2005,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501175.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501174,2008,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501174.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501173,2005,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501173.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501172,2005,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501172.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501183,2005,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501183.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501182,2011,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501182.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501181,2010,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501181.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501180,2011,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501180.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501179,2011,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501179.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501189,2007,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501189.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501188,2005,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501188.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501187,2005,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501187.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501185,2005,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501185.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501184,2005,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501184.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501194,2009,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501194.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501193,2007,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501193.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501192,2007,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501192.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501191,2004,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501191.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501190,2008,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501190.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501200,2011,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501200.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501199,2011,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501199.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501198,2010,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501198.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501197,2011,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501197.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501205,2011,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501205.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501204,2007,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501204.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501203,2003,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501203.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501202,2004,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501202.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501213,2012,USA,USA,USA,Unknown,Culex tarsalis,Mosquitoes-Culex,?,?,KJ501213.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
KJ501212,2012,USA,USA,USA,Unknown,Culex pipiens,Mosquitoes-Culex,?,?,KJ501212.1,Broad Institute of MIT & Harvard,NCBI_Global,Newman et al,37.0902,-95.7129
